,Name,Gender,Age,Destination_Category,Temperature,Budget,Purpose,Num_of_People,Families,Duration,Travel Months,Transportation
1807,James Moore,Female,52,Photography Expedition,Cold,Medium,Leisure,3,1,12,July,Ferry
1808,David Vargas,Female,57,Winery,Warm,High,Business,2,1,4,August,Bus
1809,Jonathan Villa,Male,30,Mountain,Warm,Low,Business,5,0,7,June,Airplane
1810,Julie Reeves,Male,35,Ski Resort,Warm,High,Business,1,0,4,August,Bus
1811,Jared Banks,Male,35,Island,Warm,Medium,Leisure,3,0,11,June,Train
1812,Teresa Vega,Female,41,Winery,Hot,Medium,Business,1,1,7,July,Bus
1813,Julie Daugherty,Male,25,Spa Retreat,Hot,Low,Business,4,1,11,June,Ferry
1814,Michael Williams,Female,62,City,Hot,High,Leisure,3,1,10,August,Bus
1815,Isabella Green,Female,57,Spa Retreat,Cold,Low,Leisure,1,0,6,July,Train
1816,Joanna Bird,Male,40,Mountain,Warm,Medium,Leisure,1,0,1,July,Train
1817,Kevin Dawson,Male,61,Lake,Cold,Low,Leisure,4,0,10,August,Bus
1818,Tanner Hall,Male,49,Village,Hot,Low,Leisure,2,1,12,August,Airplane
1819,Alexis Wright,Male,22,Winery,Hot,Medium,Leisure,3,1,13,June,Train
1820,Jessica Sandoval,Male,18,Spa Retreat,Warm,Medium,Business,2,0,7,July,Train
1821,Jacob Rice,Female,40,City,Warm,Medium,Business,4,0,5,June,Bus
1822,Rachael Hanson,Male,37,City,Cold,High,Business,3,1,14,July,Bus
1823,Timothy Richardson,Male,18,Ski Resort,Cold,Low,Leisure,3,0,10,June,Airplane
1824,Kelly Pineda,Male,28,Village,Cold,High,Business,3,0,14,June,Airplane
1825,Lisa Navarro,Female,56,Photography Expedition,Cold,High,Leisure,3,0,1,July,Airplane
1826,Melissa Wilson,Male,58,Winery,Warm,Medium,Business,1,0,2,June,Car
1827,Justin Brown,Female,25,Village,Hot,High,Leisure,3,1,8,August,Bus
1828,Sarah Gregory,Female,22,Ski Resort,Cold,High,Business,2,0,2,August,Airplane
1829,Rita Delacruz,Male,38,Island,Hot,Low,Business,1,0,1,July,Car
1830,Austin Cohen,Male,60,Photography Expedition,Warm,High,Leisure,3,0,12,August,Bus
1831,Sara Fisher,Female,48,Spa Retreat,Cold,Low,Business,3,1,6,July,Train
1832,Andrew Fischer,Male,51,Mountain,Warm,High,Business,2,1,2,July,Airplane
1833,Benjamin Collins,Female,51,Photography Expedition,Cold,Low,Leisure,1,0,11,August,Ferry
1834,Adrian Lloyd,Female,38,Spa Retreat,Cold,High,Leisure,4,1,12,August,Bus
1835,Joan Rivas,Male,48,Lake,Cold,High,Leisure,2,0,2,August,Car
1836,Suzanne Reed,Male,24,Spa Retreat,Hot,Low,Business,3,0,3,June,Ferry
1837,Kevin Barnes,Female,35,Village,Cold,High,Business,4,1,10,July,Airplane
1838,Katherine Miller,Male,26,Photography Expedition,Cold,Medium,Business,4,0,5,July,Train
1839,Kenneth Tran,Female,22,Lake,Warm,Medium,Leisure,1,0,4,June,Bus
1840,Zachary Gonzalez,Male,36,Ski Resort,Hot,Medium,Leisure,5,0,10,August,Ferry
1841,Susan Mcdonald,Male,57,Winery,Warm,Low,Leisure,5,1,5,August,Ferry
1842,Elizabeth Black,Male,50,City,Warm,Low,Leisure,4,1,6,June,Ferry
1843,Cody Thompson,Female,27,Village,Hot,High,Leisure,3,1,11,July,Airplane
1844,Tony Buchanan,Male,53,Island,Cold,High,Business,2,1,7,June,Bus
1845,Shane Robertson,Male,34,Lake,Cold,High,Business,2,0,7,July,Airplane
1846,Susan Bowen,Male,55,Mountain,Hot,Low,Leisure,4,1,5,August,Ferry
1847,David Melton,Female,36,Village,Warm,Low,Business,1,1,3,June,Car
1848,Scott Blackwell,Female,53,Island,Cold,Low,Leisure,1,0,9,June,Train
1849,Bill Moore,Male,44,Village,Warm,High,Business,1,1,7,July,Airplane
1850,George Keith,Female,49,Village,Warm,High,Business,1,0,10,July,Car
1851,Samuel Gray,Male,46,Countryside,Warm,Medium,Business,3,1,1,August,Ferry
1852,Joshua Jordan,Male,21,Lake,Warm,Medium,Leisure,2,1,6,July,Ferry
1853,Charles Hernandez,Male,54,Village,Warm,Low,Leisure,1,1,3,August,Bus
1854,Brian Oconnor,Female,37,Winery,Cold,High,Leisure,2,0,5,August,Airplane
1855,Courtney Montoya DVM,Female,18,Winery,Cold,Low,Business,3,0,13,June,Ferry
1856,Deborah Montoya,Male,55,Lake,Cold,High,Business,5,1,7,July,Train
1857,Shannon Edwards,Male,59,Countryside,Hot,High,Business,4,0,12,July,Ferry
1858,Tim Mcclure,Male,59,Island,Warm,Low,Leisure,1,0,6,July,Train
1859,Wanda Townsend,Female,50,Winery,Cold,Medium,Business,3,1,7,August,Bus
1860,Kimberly Potter,Female,48,Lake,Warm,Medium,Leisure,3,1,4,July,Bus
1861,Savannah Jackson,Male,60,Lake,Hot,Low,Business,5,0,12,July,Train
1862,Daniel Moore,Male,44,City,Hot,High,Business,5,0,4,June,Car
1863,Mark Johnson,Female,37,Countryside,Hot,Low,Business,3,1,13,June,Train
1864,Mark Williams,Female,61,Winery,Hot,Low,Leisure,5,0,8,July,Ferry
1865,Antonio Phillips,Male,46,Island,Warm,Medium,Business,4,0,10,August,Train
1866,Jody Gilmore,Female,32,Spa Retreat,Hot,High,Business,4,1,9,August,Car
1867,Margaret Harris,Female,52,Photography Expedition,Hot,Low,Business,1,0,4,June,Ferry
1868,Taylor Jones,Male,27,Winery,Cold,Medium,Business,1,0,6,July,Ferry
1869,Kevin Reed,Female,44,Mountain,Cold,Medium,Leisure,2,0,6,August,Airplane
1870,Zachary Coffey,Male,60,Spa Retreat,Hot,Medium,Leisure,4,0,14,July,Ferry
1871,Natasha Walker,Female,33,Village,Hot,Low,Leisure,3,1,4,August,Ferry
1872,Danielle Rosales,Male,42,Photography Expedition,Hot,Medium,Business,2,0,5,July,Train
1873,Tina Leonard,Female,61,City,Warm,High,Business,4,1,13,August,Train
1874,Jessica King,Male,58,Photography Expedition,Hot,High,Business,3,0,5,August,Train
1875,Jasmine Nguyen,Female,57,Countryside,Warm,High,Business,5,1,2,August,Airplane
1876,Megan Parker,Male,42,Countryside,Cold,High,Leisure,3,1,7,July,Car
1877,Joshua Gordon,Male,64,Spa Retreat,Cold,High,Business,5,1,9,July,Car
1878,Suzanne Gardner,Male,61,Mountain,Warm,Low,Leisure,5,1,14,August,Train
1879,Ronald Pittman,Male,38,Countryside,Cold,Low,Business,1,1,4,August,Train
1880,Sarah Preston,Male,58,Mountain,Hot,High,Leisure,5,1,5,June,Airplane
1881,Richard Wood,Male,27,Village,Hot,High,Business,4,1,11,June,Airplane
1882,Samuel Brown,Female,22,Countryside,Warm,Low,Leisure,4,1,5,July,Airplane
1883,Kathleen Phillips,Male,52,Ski Resort,Cold,High,Leisure,2,1,5,August,Train
1884,Sarah Coleman,Female,45,Spa Retreat,Hot,Low,Leisure,5,1,3,June,Car
1885,Brenda Davis,Female,48,Countryside,Warm,Low,Leisure,4,1,10,July,Airplane
1886,Matthew Odonnell,Male,50,Mountain,Cold,Low,Leisure,3,1,3,July,Train
1887,Ryan Arellano,Male,41,Island,Cold,High,Business,1,0,10,July,Train
1888,Timothy Fuller,Female,64,Ski Resort,Warm,Low,Leisure,5,0,14,June,Train
1889,Shannon Blair,Male,38,Village,Cold,High,Leisure,5,0,7,August,Bus
1890,Wendy Harrell,Male,61,Winery,Warm,Medium,Business,4,1,11,August,Car
1891,Nicholas Long,Female,42,Lake,Hot,Medium,Business,3,0,14,June,Bus
1892,Alexandra Cox,Female,46,City,Cold,Low,Business,2,1,1,August,Airplane
1893,Yvette Walker,Female,64,Winery,Cold,Low,Business,2,1,12,June,Car
1894,Sarah Buckley,Male,50,City,Cold,Medium,Business,1,0,4,July,Car
1895,Adam Hardy,Male,60,Village,Warm,Low,Business,2,0,2,June,Ferry
1896,Vincent Rivera,Female,28,Ski Resort,Hot,Medium,Leisure,3,0,5,August,Car
1897,Michael Gross,Female,31,Winery,Hot,Low,Business,1,0,1,August,Car
1898,Justin Rodriguez,Male,53,Island,Warm,High,Business,2,1,7,August,Ferry
1899,Clayton Brown,Female,33,Winery,Cold,High,Leisure,2,1,12,July,Ferry
1900,Kenneth Martinez,Male,64,City,Cold,Medium,Leisure,4,1,8,August,Bus
1901,Dawn Pierce,Male,21,Mountain,Cold,Low,Leisure,2,0,6,June,Train
1902,Jill Lutz,Female,34,Ski Resort,Cold,High,Leisure,1,1,14,July,Ferry
1903,Rebecca Warren,Female,40,Winery,Warm,Low,Leisure,4,1,5,July,Airplane
1904,Timothy Fischer,Female,28,Island,Cold,Low,Leisure,1,1,9,August,Airplane
1905,Tara Chavez,Female,42,Island,Cold,Medium,Business,3,0,11,June,Ferry
1906,Deborah Willis,Male,24,Spa Retreat,Cold,Low,Leisure,1,0,6,June,Bus
1907,Aaron Shannon,Male,22,Spa Retreat,Cold,Medium,Leisure,3,1,11,July,Bus
1908,Jessica Elliott DDS,Female,36,Winery,Cold,Low,Business,4,0,6,July,Airplane
1909,James Ross,Female,26,Lake,Hot,High,Leisure,2,0,10,July,Bus
1910,Christopher Eaton,Female,53,Mountain,Warm,Low,Leisure,3,0,13,June,Car
1911,Blake Medina DDS,Male,38,Island,Hot,Medium,Leisure,3,1,14,August,Train
1912,Becky Johnson,Male,28,Lake,Warm,High,Leisure,5,0,5,August,Airplane
1913,Peter Carter,Male,30,Winery,Cold,High,Leisure,1,1,6,August,Train
1914,Katherine Davis,Female,44,City,Hot,High,Leisure,4,0,6,July,Car
1915,Danny Moore,Male,27,Mountain,Warm,Low,Leisure,4,1,5,July,Bus
1916,Brian Yang,Female,47,Spa Retreat,Cold,High,Business,1,1,10,August,Ferry
1917,Amy Walsh,Female,28,Spa Retreat,Warm,Medium,Leisure,2,0,7,August,Ferry
1918,Dawn Wiggins,Female,51,Winery,Cold,Medium,Leisure,3,0,13,June,Ferry
1919,Heather Washington,Female,34,Mountain,Warm,Low,Business,1,1,1,June,Train
1920,Corey Willis,Female,28,Spa Retreat,Cold,High,Leisure,5,1,1,June,Train
1921,Aaron Johnson,Female,27,Photography Expedition,Warm,Medium,Business,3,1,8,July,Car
1922,Alexander Buck,Female,42,Lake,Cold,High,Leisure,3,0,9,July,Train
1923,Mrs. Misty Perez,Male,49,Lake,Hot,Medium,Leisure,2,1,8,August,Bus
1924,Timothy Williams,Male,35,Lake,Hot,Medium,Business,4,1,11,June,Train
1925,Jasmine Gonzalez,Male,22,Lake,Cold,Medium,Business,2,1,13,August,Airplane
1926,Brandon Oneill,Male,41,City,Warm,Low,Business,3,0,2,July,Train
1927,Ashley Lopez,Female,38,Mountain,Warm,Low,Leisure,3,1,10,July,Car
1928,Christine Payne,Female,26,Countryside,Hot,Medium,Leisure,5,1,6,August,Bus
1929,John Cortez,Male,29,Spa Retreat,Warm,Low,Leisure,1,0,10,August,Airplane
1930,Mary Johnson,Male,18,Island,Cold,Low,Leisure,5,0,6,August,Car
1931,John Lopez,Female,40,Ski Resort,Warm,High,Business,3,1,3,June,Car
1932,Shelly Alvarado,Female,38,Photography Expedition,Cold,High,Leisure,3,0,7,June,Train
1933,James Berg,Male,25,Village,Warm,Medium,Business,1,1,2,July,Car
1934,Alexandra Murray,Female,29,Winery,Hot,Low,Leisure,2,1,8,July,Bus
1935,John Smith,Male,43,Island,Hot,Medium,Leisure,2,0,4,August,Car
1936,Dylan Adams,Female,31,Winery,Warm,High,Business,2,1,4,July,Airplane
1937,Darren Harmon,Male,36,Spa Retreat,Hot,High,Business,4,1,14,June,Bus
1938,Tiffany Foley,Female,37,Spa Retreat,Cold,Low,Leisure,4,0,6,July,Car
1939,Nicholas Hernandez,Male,25,City,Hot,Low,Leisure,4,0,8,August,Car
1940,Chad Melton,Female,54,Photography Expedition,Warm,High,Business,1,0,10,July,Airplane
1941,Timothy Williams,Female,34,Mountain,Hot,High,Leisure,4,0,9,June,Ferry
1942,Lisa Morgan,Male,23,Countryside,Warm,High,Business,1,1,6,July,Airplane
1943,Matthew Underwood,Female,24,Ski Resort,Cold,Low,Leisure,2,1,14,July,Bus
1944,Kim Smith,Female,25,Village,Hot,Low,Leisure,5,1,12,July,Bus
1945,Brendan Allen,Male,59,Winery,Hot,Low,Leisure,2,0,3,June,Airplane
1946,Kevin Sullivan,Female,27,Spa Retreat,Hot,High,Leisure,2,1,4,August,Train
1947,John Holmes,Male,46,Mountain,Warm,Low,Business,5,1,5,August,Bus
1948,Kyle Cherry,Female,49,Winery,Warm,High,Business,5,1,11,July,Airplane
1949,James Myers,Male,54,Mountain,Warm,Low,Leisure,3,0,4,July,Train
1950,Nichole Nichols,Female,34,Ski Resort,Hot,Low,Leisure,5,0,1,July,Ferry
1951,Victoria Jones,Female,19,Winery,Warm,Low,Leisure,1,1,2,June,Bus
1952,Joshua Morgan,Male,28,Photography Expedition,Warm,High,Leisure,1,0,3,June,Bus
1953,Alexandra Meyer,Male,25,Island,Warm,High,Leisure,2,0,12,July,Bus
1954,Anthony Dean,Male,55,Winery,Hot,High,Business,5,1,9,August,Train
1955,Jeremy Martinez,Female,48,Countryside,Warm,Low,Leisure,3,0,9,June,Car
1956,Jordan Hall,Male,22,Ski Resort,Cold,Medium,Business,2,0,9,July,Ferry
1957,Susan Sullivan,Female,56,City,Cold,Low,Leisure,5,1,7,June,Car
1958,Anna Ortiz,Male,26,Countryside,Warm,High,Business,1,1,5,July,Train
1959,Mark Esparza,Male,50,City,Warm,High,Business,4,0,6,July,Airplane
1960,Jesse Henson,Male,51,Ski Resort,Cold,Medium,Business,5,0,12,August,Ferry
1961,Angela Flores,Female,50,Countryside,Cold,Medium,Business,3,1,3,June,Airplane
1962,Miguel Gallegos,Female,21,Lake,Warm,High,Leisure,2,1,8,June,Airplane
1963,Isaiah Ramirez,Female,37,Lake,Cold,Medium,Leisure,3,1,7,July,Airplane
1964,Jeffrey Stevenson,Female,38,Ski Resort,Hot,Medium,Business,5,0,11,June,Bus
1965,Robert Hardy,Female,24,Countryside,Hot,Medium,Business,4,1,7,July,Ferry
1966,Andrea Daniel,Male,24,Spa Retreat,Cold,High,Leisure,5,0,6,June,Airplane
1967,Connie Carpenter,Female,29,City,Cold,High,Business,3,1,13,August,Train
1968,Tiffany King,Male,31,Photography Expedition,Warm,Low,Leisure,4,0,4,July,Car
1969,Michelle Lawrence,Male,31,Countryside,Hot,Low,Leisure,5,0,1,June,Train
1970,William Rodriguez,Female,30,Winery,Hot,Medium,Business,3,0,2,August,Train
1971,Jessica Banks,Female,36,Spa Retreat,Warm,High,Business,1,0,4,August,Bus
1972,Julie Wright,Female,60,Island,Hot,Low,Business,3,1,6,August,Train
1973,Jill Walker,Female,43,Lake,Warm,Low,Business,4,1,1,August,Ferry
1974,Sharon Davis,Female,27,City,Warm,Medium,Leisure,2,1,13,August,Car
1975,William Howard,Female,61,Winery,Cold,High,Leisure,2,1,4,June,Airplane
1976,Mary Cohen,Female,53,Photography Expedition,Cold,Medium,Business,4,0,4,August,Train
1977,Sarah Alvarez,Male,62,Ski Resort,Hot,Low,Leisure,2,0,2,June,Train
1978,Oscar Farrell,Female,27,Spa Retreat,Hot,Medium,Business,5,1,14,June,Car
1979,Samuel Kelly,Female,38,Island,Warm,High,Business,2,0,11,July,Ferry
1980,Tina Alvarez,Male,34,Village,Cold,High,Leisure,3,0,7,August,Car
1981,Selena Singleton,Male,36,Island,Hot,High,Business,3,1,12,July,Car
1982,Jody Gilmore,Male,62,Lake,Cold,High,Business,5,0,2,June,Train
1983,Christopher Beasley,Female,56,Village,Warm,Low,Leisure,2,0,10,June,Airplane
1984,Richard Steele,Male,48,Photography Expedition,Cold,Medium,Business,4,0,4,August,Ferry
1985,Dr. Nathaniel Holt,Male,41,Village,Cold,Medium,Leisure,3,1,4,June,Bus
1986,Danielle Fox,Male,48,Mountain,Warm,High,Business,4,1,11,June,Bus
1987,Benjamin Lewis,Male,21,Village,Hot,High,Leisure,4,1,13,July,Car
1988,Mary Grant,Female,20,Spa Retreat,Warm,Medium,Business,2,0,5,July,Airplane
1989,Tyler Dyer,Female,62,Village,Cold,Low,Business,3,0,3,August,Ferry
1990,Amy Wells,Male,48,Village,Hot,High,Leisure,3,0,3,August,Train
1991,Jonathan Hobbs,Female,23,Village,Hot,High,Leisure,4,1,5,August,Train
1992,John Williams,Female,55,Lake,Warm,Medium,Business,4,0,12,June,Bus
1993,Shannon Smith,Male,36,Village,Hot,Low,Leisure,3,1,4,August,Car
1994,Karen Gonzales,Male,39,Countryside,Warm,High,Business,2,1,3,August,Airplane
1995,Stacey Atkinson,Male,32,Island,Warm,High,Business,3,1,13,June,Airplane
1996,Alexis Vaughn,Male,30,Photography Expedition,Warm,High,Leisure,2,1,9,July,Car
1997,Aaron Lopez,Female,50,Winery,Hot,High,Leisure,2,1,12,July,Train
1998,Evelyn Brown,Female,40,Spa Retreat,Cold,Low,Business,4,1,9,July,Car
1999,Ariana Dunn,Female,43,Spa Retreat,Hot,Low,Leisure,5,0,7,August,Airplane
2000,Patrick Vazquez,Female,56,Ski Resort,Hot,Low,Business,4,1,4,June,Airplane
2001,David Curtis,Female,36,Spa Retreat,Hot,Low,Leisure,2,1,11,August,Bus
2002,Miguel Garcia,Female,64,City,Cold,Low,Leisure,2,1,7,June,Bus
2003,Amanda Sandoval,Female,37,Ski Resort,Warm,Low,Leisure,3,1,2,July,Car
2004,Jose Atkinson,Male,48,Photography Expedition,Hot,Medium,Business,2,0,3,June,Airplane
2005,Christina Short,Male,33,Village,Cold,Low,Leisure,1,0,14,August,Car
2006,Adam Bryant,Male,33,Countryside,Hot,Medium,Leisure,4,1,4,June,Bus
2007,Tracy Moore,Male,32,Island,Warm,Low,Leisure,4,0,2,July,Bus
2008,Gregory Ramirez,Female,38,Winery,Warm,Medium,Leisure,2,1,9,July,Bus
2009,Randy Montoya,Male,38,Village,Cold,High,Leisure,5,1,14,June,Car
2010,Michael Fernandez,Female,28,City,Warm,High,Leisure,5,1,11,August,Airplane
2011,Jennifer Braun,Male,31,Village,Warm,Medium,Leisure,2,0,9,June,Ferry
2012,Jessica Berry,Female,55,Photography Expedition,Cold,High,Business,5,1,13,June,Train
2013,Stephanie Smith,Female,26,Village,Hot,Low,Business,2,1,11,August,Airplane
2014,Daniel Leon,Male,33,Mountain,Hot,Low,Business,4,0,13,July,Car
2015,Donna Ward,Male,39,Lake,Hot,Low,Business,3,0,8,August,Car
2016,Danielle Wood,Male,22,Lake,Cold,Low,Leisure,4,1,12,August,Train
2017,Jack Smith,Male,30,Winery,Cold,Low,Leisure,1,1,1,July,Car
2018,Donald Thomas,Male,63,Mountain,Cold,Medium,Leisure,2,1,11,June,Ferry
2019,Karen Austin,Female,37,Island,Hot,High,Leisure,3,1,1,June,Car
2020,Michael Campbell,Male,37,Island,Cold,Medium,Leisure,5,0,14,August,Bus
2021,Catherine Ferguson,Male,52,Mountain,Warm,High,Leisure,3,1,14,June,Airplane
2022,Christina Thompson,Female,40,Mountain,Hot,Medium,Business,2,1,5,July,Ferry
2023,Laura Hill,Male,43,City,Warm,Low,Leisure,5,0,1,August,Car
2024,Nancy Banks,Male,25,Spa Retreat,Warm,Medium,Business,3,0,10,July,Ferry
2025,Courtney Stephens,Female,27,Lake,Hot,Low,Business,2,0,10,July,Bus
2026,Austin Hernandez,Male,31,Ski Resort,Warm,Medium,Business,1,0,1,July,Airplane
2027,Bianca Heath,Female,21,Winery,Cold,Medium,Business,3,1,13,July,Bus
2028,Christopher Logan,Male,63,Village,Warm,Medium,Business,3,0,3,August,Airplane
2029,Jose Lopez,Male,33,Mountain,Hot,Low,Leisure,2,1,1,July,Ferry
2030,Jeremiah Hamilton,Female,29,Lake,Hot,Medium,Leisure,3,0,14,August,Bus
2031,Charles Guzman,Female,34,Mountain,Hot,High,Leisure,2,1,2,June,Ferry
2032,Nancy Walsh,Male,21,Island,Warm,Medium,Leisure,5,0,13,July,Train
2033,Damon Espinoza,Male,20,Photography Expedition,Cold,Low,Business,2,1,5,July,Bus
2034,Jessica King,Male,25,Mountain,Hot,Medium,Business,2,0,14,August,Bus
2035,Valerie Smith,Male,27,Lake,Warm,Medium,Business,3,0,14,July,Ferry
2036,Ashley Alexander,Female,61,Island,Warm,Low,Leisure,3,1,8,June,Bus
2037,Savannah Merritt,Female,58,Photography Expedition,Hot,Low,Business,2,0,14,June,Bus
2038,Julian Walker,Male,53,Winery,Warm,Low,Business,1,1,9,June,Airplane
2039,Crystal Warren,Male,49,Lake,Hot,Medium,Leisure,1,1,8,July,Bus
2040,Nathan Werner,Female,43,Village,Hot,Medium,Leisure,3,0,7,July,Airplane
2041,Brian Mclean,Male,47,Village,Warm,High,Leisure,1,0,10,June,Bus
2042,Marvin Roberts,Female,34,Lake,Cold,High,Business,4,1,5,June,Train
2043,John Deleon,Female,32,City,Hot,Low,Leisure,5,1,12,August,Ferry
2044,Amanda Anderson,Male,56,Lake,Warm,Medium,Business,3,1,8,July,Ferry
2045,Amanda Austin,Female,62,Photography Expedition,Warm,Low,Business,3,1,6,June,Bus
2046,Mary Cohen,Female,57,Spa Retreat,Hot,Low,Leisure,5,1,12,August,Ferry
2047,Barbara Hanson,Female,47,Lake,Cold,Low,Leisure,4,1,9,July,Car
2048,Dawn Combs,Female,45,Village,Warm,Low,Business,3,0,2,June,Car
2049,Susan Mcfarland,Male,41,Photography Expedition,Warm,Medium,Leisure,3,0,3,July,Train
2050,Jonathan Sharp,Female,61,Winery,Warm,Low,Business,4,1,5,June,Airplane
2051,David Thomas,Female,63,Village,Hot,High,Leisure,2,1,10,June,Car
2052,Kevin Stafford,Male,46,Photography Expedition,Warm,High,Leisure,3,1,8,July,Ferry
2053,David White,Female,31,Village,Cold,Low,Leisure,4,1,12,June,Train
2054,Jeremy Mullins,Female,31,City,Cold,Medium,Leisure,5,1,10,August,Ferry
2055,John Mendez,Male,48,Countryside,Hot,Medium,Business,1,0,1,June,Car
2056,James Fritz,Male,53,Spa Retreat,Warm,Low,Business,5,0,3,August,Train
2057,Nathan Sparks,Female,58,Lake,Warm,Low,Business,5,0,2,August,Car
2058,Robert Ellis,Female,59,Island,Cold,High,Business,3,0,4,June,Airplane
2059,Nathaniel Smith,Male,64,Countryside,Cold,High,Leisure,3,0,12,July,Ferry
2060,Jennifer Hamilton,Female,41,City,Hot,Medium,Leisure,2,1,10,July,Car
2061,William Scott,Female,27,Lake,Warm,Low,Leisure,1,0,4,August,Bus
2062,Andre Lawrence,Female,36,Spa Retreat,Cold,Medium,Business,4,0,11,August,Ferry
2063,Sara Garcia,Male,35,Ski Resort,Cold,High,Leisure,4,0,14,July,Car
2064,Kevin James,Male,23,Village,Hot,Medium,Leisure,5,0,9,July,Car
2065,Thomas Gentry,Male,52,Ski Resort,Cold,High,Leisure,1,0,5,July,Car
2066,David Curtis,Female,58,Island,Hot,High,Leisure,2,0,12,June,Bus
2067,Jessica Carroll,Male,43,Countryside,Hot,Low,Leisure,3,1,1,August,Airplane
2068,Lindsay Wilson,Male,25,Winery,Hot,Low,Leisure,3,1,8,August,Car
2069,Michael Flores,Female,24,Mountain,Warm,High,Leisure,3,1,5,June,Ferry
2070,Ms. Michelle Mcfarland,Male,40,Lake,Hot,High,Business,2,1,5,July,Ferry
2071,Casey Hancock,Female,20,Mountain,Hot,Low,Business,2,1,9,July,Car
2072,Alyssa Smith,Male,30,Photography Expedition,Cold,Low,Leisure,4,1,2,June,Airplane
2073,Margaret Wang MD,Male,26,Village,Cold,Medium,Leisure,4,0,1,August,Train
2074,Patricia Anthony MD,Male,35,Mountain,Hot,Low,Business,2,1,4,July,Airplane
2075,Joseph Eaton,Female,54,Photography Expedition,Cold,High,Leisure,5,0,5,August,Bus
2076,Nicholas Baker,Male,50,Mountain,Hot,Low,Leisure,2,0,3,July,Airplane
2077,Catherine Rosales,Female,42,Mountain,Hot,High,Business,5,1,2,July,Airplane
2078,Joy Wagner,Female,27,City,Warm,Low,Business,3,1,5,August,Car
2079,Beth Berry,Male,50,Village,Hot,High,Leisure,1,0,12,August,Airplane
2080,Carlos Dennis,Male,52,City,Hot,High,Leisure,4,0,1,June,Train
2081,Barbara Proctor,Female,47,Mountain,Warm,High,Business,1,0,5,July,Train
2082,Gabriel Miller,Female,60,Island,Warm,High,Leisure,1,1,4,August,Train
2083,Christopher Escobar,Female,26,Photography Expedition,Cold,High,Leisure,2,0,9,August,Car
2084,Hannah English,Male,33,Ski Resort,Hot,Low,Leisure,3,0,10,July,Bus
2085,James Fields,Male,42,Countryside,Warm,Low,Leisure,1,0,12,July,Bus
2086,Molly Rodriguez,Male,21,Island,Hot,Low,Business,2,1,7,August,Train
2087,James Cooper,Female,26,Photography Expedition,Hot,High,Business,1,1,5,June,Car
2088,Jessica Reyes,Male,61,Spa Retreat,Cold,Medium,Business,1,1,13,June,Train
2089,Jose Torres,Female,21,City,Cold,High,Business,4,1,4,August,Car
2090,Martha Weaver,Male,35,Spa Retreat,Hot,Low,Leisure,3,1,8,August,Car
2091,Christopher Bryant,Male,53,Village,Hot,Medium,Leisure,3,0,6,August,Ferry
2092,Travis Ellis,Male,47,Mountain,Cold,High,Business,4,0,9,August,Car
2093,Ashley Wilson,Male,61,Winery,Hot,Low,Leisure,5,0,1,August,Car
2094,Michael Ashley,Male,29,Winery,Warm,High,Leisure,4,1,13,June,Airplane
2095,Austin Adams,Male,34,Winery,Cold,High,Leisure,2,0,12,August,Car
2096,Jerry Hall,Female,46,Winery,Cold,Low,Business,1,1,5,June,Bus
2097,Jennifer Burgess,Female,54,Island,Warm,Medium,Business,4,0,10,June,Bus
2098,Kevin Perez,Female,36,Lake,Cold,High,Leisure,4,1,2,June,Bus
2099,William Price,Female,19,Photography Expedition,Cold,Medium,Leisure,2,1,3,June,Ferry
2100,Trevor Daniel,Male,29,Village,Cold,High,Leisure,1,1,11,August,Car
2101,Brittany Owens,Male,39,Island,Cold,Low,Business,5,0,9,July,Ferry
2102,Danielle Wilson,Female,57,Mountain,Hot,High,Leisure,1,0,1,June,Bus
2103,Deanna Butler,Male,40,Island,Cold,High,Business,1,1,1,June,Train
2104,Allison Peck,Male,33,Village,Hot,High,Leisure,3,1,3,June,Car
2105,Priscilla Smith,Male,37,Spa Retreat,Cold,Medium,Leisure,2,1,2,August,Train
2106,Susan Rivera,Male,47,Mountain,Hot,High,Business,4,1,8,June,Airplane
2107,Taylor Jones,Male,53,Ski Resort,Cold,Medium,Leisure,5,0,13,July,Car
2108,Eric Chan,Male,39,Countryside,Hot,Medium,Business,2,1,7,July,Bus
2109,Shawn Owens,Female,61,Mountain,Warm,Low,Leisure,1,1,10,June,Ferry
2110,Robert Cox,Female,61,Spa Retreat,Cold,Low,Leisure,3,1,2,June,Ferry
2111,Daniel Brown,Male,36,Island,Hot,Medium,Business,2,1,11,August,Airplane
2112,Jacob Jacobson,Male,36,City,Warm,Medium,Leisure,3,1,2,August,Car
2113,Jessica Berry,Female,32,Island,Warm,Low,Business,1,1,10,August,Airplane
2114,Lydia Stephens,Female,18,Lake,Hot,Low,Leisure,1,1,11,August,Car
2115,Juan Diaz,Female,49,Village,Hot,Low,Leisure,3,1,13,August,Ferry
2116,Jared Simpson,Male,38,Lake,Cold,Low,Leisure,2,0,7,June,Airplane
2117,Jordan Gillespie,Male,58,Lake,Cold,Low,Business,4,1,4,July,Ferry
2118,Kevin Weaver,Male,47,Photography Expedition,Cold,Low,Leisure,3,1,14,August,Ferry
2119,Grace Bell,Female,28,City,Warm,Medium,Leisure,1,0,11,June,Car
2120,Kevin Alexander,Male,30,Winery,Hot,Low,Leisure,5,0,2,August,Car
2121,Andrew Martin,Male,46,Photography Expedition,Cold,Medium,Business,4,1,1,June,Train
